case_id, setup, solution
1, L' U L U2' R' L' U L U R U R' U R y', y R' U' R U' R' U' R U2 L' R' U R U' L
2, L' U R' U' L U' R' U2' R' U R' U' R U2' R2', y R' U2 R2 U R' U' R' U2 F' R U2 R U2 R' F
3, R' U' R U R' F2' R U2' R' U2' R' F2' R2', R2 F2 R U2 R U2 R' F2 R U' R' U R
4, R' D R' U R D' R' U R2' U' R2' U' R2' y', y2 F R2 D R' U' R D' R2 U' R U2 R' U' F'
5, R U L' U R' U' L U' R U R' U2' R U2' R' y, y F R U R' U' R U R' U' F' R U R' U' R' F R F'
6, F' r U R' U' L' U l y', y2 R' U' R' D' R U R' D R2
7, R' U' R F U' R' U' R U F' R' U2' R, R' U2 R F U' R' U R U F' R' U R
8, L' R' U R U' L R' U' R U' R' U R y, y' R' U' R U R' U R L' U R' U' R L
9, F R U' R' U' R U2' R' U' F' y', y F U R U2 R' U R U R' F'
10, F' R U2' R' U2' R' F R U R U' R' y', y R U R' U' R' F' R U2 R U2 R' F
11, R' U' R U' R' U R U L U' R' U M x, y' F U R' U' R F' R' U' R U R' U R
12, R' U' R' D' R U2' R' D R U R U' R' U' R y, y' R' U R U R' U' R' D' R U2 R' D R U R
13, R U R' U' R B2' R' U2' R U2' R B2' R2' y2', y2 R' U' R U D' R U' R U R U' R2 D
14, R D' R U2' R2' U R2' U R2' U' R D R', y' R' D' R U R' D R2 U' R' U R U R' U' R U R'
15, L U' R U R' L' U2' R U' R' U' R U' R' y', y R U R' U R U R' U2 L R U' R' U L'
16, R' U2' R2' U R' U' R' U2' F R U R U' R' F' y2', y2 F R U R' U' R' F' U2 R U R U' R2 U2 R
17, F R' F' r U R U' r' y, y' r U R' U' r' F R F'
18, R' U' L U' R U L' U R' U' R U2' R' U2' R y, R' U' R U' R2 F' R U R U' R' F U R U' R' U2 R
19, R U R' B' U R U R' U' B R U2' R' y2', L U2 r' D' F r U' r' F' D r U' L'
20, L R U' R' U L' R U R' U R U' R' y, y' R U R' U' R U' R' L U' R U R' L'
21, F R U R' U' R' F' R U2' R U2' R' y, y' R U2 R' U2 R' F R U R U' R' F'
22, F' L' U L U L' U2' L U F y, y' F' U' r' F2 r U F R U' R'
23, R U R D R' U2' R D' R' U' R' U R U R' y, y2 f R' F' U2 R' U2 R U2 S'
24, R U R' U R U' R' U' L' U R U' L R' y2', y2 R L' U R' U' L U R U R' U' R U' R'
25, L' U R' U' R L U2' R' U' R, R' U R U2 L' R' U R U' L
26, R U R' U R U2' R D R' U R D' R' U' R' y, y' R U R D R' U' R D' R' U2 R' U' R U' R'
27, L U' R U R' L' U2' R U R' y2', y2 R U' R' U2 L R U' R' U L'
28, R' U' R U' R' U2' R' D' R U' R' D R U R y, y' R' U' R' D' R U R' D R U2 R U R' U R
29, R' U2' R U R' U R F U R U2' R' U R U R' F', F R U' R' U' R U2 R' U' F' R' U' R U' R' U2 R
30, F R U' R' U' R U2' R' U' F' R' U' R U' R' U2' R, R' U2 R U R' U R F U R U2 R' U R U R' F'
31, F' r2' U2' R' F' R U2' r' U r' y2', y2 r U' r U2 R' F R U2 r2 F
32, R' U' R U R U R2' F' R U R U' R' F R U' R2' U R y2', y2 R' U' R2 U R' F' R U R' U' R' F R2 U' R' U' R' U R
33, R U R' D U R2' U2' R2' U R2' U R2' D' R U' R', R U' R' U R U R' U' R U R' U' R' D' R U' R' D R
34, L' U2' R U2' R' U2' L U R U R' U' R U' R', R U R' U R U' R' U' L' U2 R U2 R' U2 L
35, R' U' R U' R' U R F U' R' U2' R U F', F U' R' U2 R U F' R' U' R U R' U R
36, R U R' U R U' R' U' L' U2' R U2' R' U2' L y', y L' U2 R U2 R' U2 L U R U R' U' R U' R'
37, R U R' U' L' U2' R U R' U2' L R U' R' y', y R U R' L' U2 R U' R' U2 L U R U' R'
38, R U2' R' U' R U' R D' R U2' R' D R U2' R, R' U2 R' D' R U2 R' D R' U R' U R U2 R'
39, R' U' R F U' R' U' R U F' U R' U R y', y R' U' R U' F U' R' U R U F' R' U R
40, R' U2' R U R' U R' D R' U2' R D' R' U2' R' y2', y2 R U2 R D R' U2 R D' R U' R U' R' U2 R
41, x R2' D2' R U2' R' D2' R U2' l y, y' l' U2 R' D2 R U2 R' D2 R2 x'
42, x' R2' D2' R' U2' R D2' R' U2' l' y, y' l U2 R D2 R' U2 R D2 R2 x
43, F R U' R' U R U R' U R U' R' F' y2', y2 F R U R' U' R U' R' U' R U R' F'
44, L' R' U R U' L R' U' R U2' R U R2' U R2' U2' R' y2', y' R U R' U2 R U' R' U2 R U' R2 F' R U R U' R' F
45, R' U2' R U R' U R' D' R U' R' D R U R y', y R' U' R' D' R U R' D R U' R U' R' U2 R
46, R U' R' U' R U2' R' U2' R' D' R U' R' D R, y2 R F R' U R U2 R' U R U F' R'
47, x M U' L U2' R' U R U2' R' U L' U L, r U R' U' r' F R F' R' U2 R U R' U R
48, R U' R' U' R U' R' U R' D' R U R' D R2' U R' y2', y2 R U2 R' U' R U' R2 F' r U R U' r' F
49, R' U' R U2' R D R' U' R D' R2' U R U' R' U R y', R' U' R U R2 D' R U2 R' D R2 U2 R' U2 R
50, R2' U R U2' R' U R D' R U2' R' D U' R, R U' R' U R U R' U' R U R' U R' D' R U R' D R
51, R U R' U R U R2' D' r U2' r' D R2' U R' y', y R U' R2 D' r U2 r' D R2 U' R' U' R U' R'
52, R2' U R2' U R D' R U' R' D R U' R2', y2 R U R' U2 R' D' R U R' D R2 U' R' U R U' R'
53, F R' F' r U R U' F R' F' r U R U' r2' y2', y2 F U R' D' R U R' D R U' R' D' R U' R' D R F'
54, R' U2' R' U2' R2' U R F R U R U' R' F' R2' y2', y2 R2 F R U R' U' R' F' R' U' R2 U2 R U2 R
55, R U' R2' D' r U2' r' D R2' U R' y2', y2 R U' R2 D' r U2 r' D R2 U R'
56, R' U R2' D r' U2' r D' R2' U' R, R' U R2 D r' U2 r D' R2 U' R
57, R2' U' R2' U' R' D R' U R D' R' U R2' y2', R' U' R U2 R D R' U' R D' R2 U R U' R' U R
58, R2' F2' R U2' R U2' R' F' R U R' U' R' F' R2' y', y R' D' R U' R' D R U' R U' R' U R U' R' U' R U R'
59, R U R' U2' R' D' R U R' D R2' U' R' U R U' R' y', y R U R' U' R U R2 D' R U' R' D R U2 R U' R'
60, F R U R' U' R' F' R U R' F' R U R U' R' F R U' R' y2', y2 R U R' F' R U R' U' R' F R U' R' F R U R U' R' F'
61, R' U' R U' R' U2' R U' R' U2' R U R' U R y, y2 R U' R' U2 R U R' U2 R U R' U R U' R'
62, R U R' U R U2' R' U R U2' R' U' R U' R' y, y' R U R' U R U2 R' U' R U2 R' U' R U' R'
63, R' U2' R2' U R2' U R U' R U R' U' R U' R' y, y' R U R' U R U' R' U R' U' R2 U' R2 U2 R
64, R U2' R' U' R U' R' U' R U R' U R U2' R', R U2 R' U' R U' R' U R U R' U R U2 R'
65, R U2' R2' U' R2' U' R' U R' U' R U R' U R y, y' R' U' R U' R' U R U' R U R2 U R2 U2 R'
66, R' U2' R U R' U R U R' U' R U' R' U2' R y2', y2 R' U2 R U R' U R U' R' U' R U' R' U2 R
67, R' U' R U' R U2' R2' U' R2' U' R2' U R y, y' R' U' R2 U R2 U R2 U2 R' U R' U R
68, R U R' U R' U2' R2' U R2' U R2' U' R' y, y' R U R2 U' R2 U' R2 U2 R U' R U' R'
69, R' U' R U' R' U2' R2' U R' U R U2' R', R U2 R' U' R U' R2 U2 R U R' U R
70, R U R' U R U2' R2' U' R U' R' U2' R y2', y2 R' U2 R U R' U R2 U2 R' U' R U' R'
71, R U R' U' R' U R U R U' R' U R' U R U2' R' U' R, R' U R U2 R' U' R U' R U R' U' R' U' R U R U' R'
72, R' U2' R U R' U R U2' R U2' R' U' R U' R' y, y' R U R' U R U2 R' U2 R' U' R U' R' U2 R
